;tweetid;stance;senti;target;moral;toxic;act;vad
0;588385636681322497;AGAINST;POSITIVE;Atheism;[0, 1, 0, 0, 0, 0, 0, 0, 0, 1];non_toxic;exp;[0.7623529411764707, 0.41523529411764715, 0.6450588235294117]
1;588386306532777985;AGAINST;POSITIVE;Atheism;[0, 0, 0, 0, 1, 0, 0, 0, 0, 0];non_toxic;sta;[0.5870909090909091, 0.22672727272727275, 0.4448181818181818]
2;588386774797324289;AGAINST;POSITIVE;Atheism;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;que;[0.3725833333333333, 0.24208333333333334, 0.37274999999999997]
3;588391388619890688;AGAINST;POSITIVE;Atheism;[0, 0, 1, 0, 1, 0, 0, 0, 1, 0];non_toxic;exp;[0.35957142857142854, 0.253, 0.2982857142857143]
4;588392604800278528;AGAINST;NEGATIVE;Atheism;[1, 0, 1, 0, 0, 0, 0, 0, 0, 0];non_toxic;sug;[0.3344, 0.17930000000000001, 0.2713]
5;588393903822372864;AGAINST;NEITHER;Atheism;[0, 1, 0, 0, 0, 0, 0, 1, 0, 0];non_toxic;sta;[0.26866666666666666, 0.24975, 0.25816666666666666]
6;588394109808717824;AGAINST;POSITIVE;Atheism;[0, 0, 0, 1, 0, 0, 0, 0, 0, 0];non_toxic;oth;[0.446, 0.182, 0.345375]
7;588401493432119296;FAVOR;NEGATIVE;Atheism;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.27705882352941175, 0.15288235294117647, 0.2515294117647059]
8;588402323078172672;NONE;NEGATIVE;Atheism;[0, 0, 0, 0, 0, 0, 1, 0, 1, 0];non_toxic;exp;[0.22218181818181817, 0.26127272727272727, 0.1966363636363636]
9;588404846480515073;NONE;NEGATIVE;Atheism;[0, 0, 0, 1, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.45587500000000003, 0.306875, 0.35375]
10;588411382325886976;FAVOR;POSITIVE;Atheism;[1, 0, 1, 0, 0, 0, 0, 0, 1, 0];non_toxic;oth;[0.522, 0.325, 0.4875]
11;588426575483432962;AGAINST;POSITIVE;Atheism;[0, 0, 0, 0, 0, 0, 1, 0, 1, 0];non_toxic;exp;[0.18919999999999998, 0.1396, 0.1806]
12;588434623228706816;AGAINST;POSITIVE;Atheism;[0, 1, 0, 1, 0, 0, 0, 0, 0, 0];non_toxic;oth;[0.506909090909091, 0.32445454545454544, 0.45809090909090905]
13;588435520264523776;AGAINST;POSITIVE;Atheism;[1, 0, 0, 0, 0, 0, 0, 0, 1, 0];non_toxic;exp;[0.7831874999999999, 0.51375, 0.7596250000000001]
14;588441747333652482;AGAINST;POSITIVE;Atheism;[0, 0, 1, 0, 0, 0, 1, 0, 1, 0];non_toxic;exp;[0.44109999999999994, 0.3176, 0.4568]
15;588450499629834240;AGAINST;POSITIVE;Atheism;[0, 0, 1, 0, 1, 0, 0, 0, 1, 0];non_toxic;sta;[0.39259999999999995, 0.25506666666666666, 0.34513333333333335]
16;588450882456453120;NONE;NEGATIVE;Atheism;[1, 0, 1, 0, 1, 0, 0, 0, 0, 0];non_toxic;oth;[0.27166666666666667, 0.164, 0.23950000000000002]
17;588453395398287362;AGAINST;NEGATIVE;Atheism;[1, 0, 0, 0, 0, 0, 0, 0, 1, 0];toxic;oth;[0.33699999999999997, 0.276875, 0.340125]
18;588466744869531648;FAVOR;POSITIVE;Atheism;[0, 1, 0, 0, 0, 0, 1, 0, 0, 0];non_toxic;sta;[0.38845454545454544, 0.2982727272727273, 0.36181818181818187]
19;588479834445193216;AGAINST;POSITIVE;Atheism;[0, 1, 0, 0, 0, 1, 0, 0, 0, 0];non_toxic;exp;[0.483, 0.23410000000000003, 0.39320000000000005]
20;588486414314172416;AGAINST;POSITIVE;Atheism;[0, 0, 1, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.40514285714285714, 0.20049999999999998, 0.3058571428571429]
21;588492191523188736;FAVOR;NEGATIVE;Atheism;[0, 1, 0, 1, 0, 0, 0, 0, 0, 0];non_toxic;sta;[0.3294, 0.21989999999999998, 0.3088]
22;588506497828655104;NONE;NEGATIVE;Atheism;[0, 1, 0, 0, 0, 0, 1, 0, 0, 0];non_toxic;oth;[0.417625, 0.280625, 0.27137500000000003]
23;588509543509790721;AGAINST;NEGATIVE;Atheism;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;sug;[0.24781818181818183, 0.493, 0.3719090909090909]
24;588515945666240515;AGAINST;POSITIVE;Atheism;[0, 0, 0, 0, 0, 0, 0, 1, 0, 0];non_toxic;sta;[0.39899999999999997, 0.24380000000000002, 0.35490000000000005]
25;588519327290142721;FAVOR;NEGATIVE;Atheism;[0, 0, 0, 0, 0, 0, 1, 0, 0, 0];toxic;sta;[0.295, 0.2605454545454546, 0.30463636363636365]
26;588532008713854977;AGAINST;POSITIVE;Atheism;[0, 0, 0, 0, 0, 1, 0, 0, 0, 0];non_toxic;exp;[0.5568181818181818, 0.374, 0.47590909090909095]
27;588532268014112768;AGAINST;NEGATIVE;Atheism;[0, 1, 1, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.6117777777777778, 0.4233333333333333, 0.5757777777777777]
28;588535895596224512;AGAINST;POSITIVE;Atheism;[0, 0, 1, 0, 1, 0, 0, 0, 0, 0];non_toxic;sta;[1.08325, 0.6576249999999999, 0.8255]
